Número de candidatos votados - prefeito
Sigla;Código;Município;2004;2008;2012;2016;2020;
BA;2926707;Rio de Contas;3;3;3;2;2;
BA;2926806;Rio do Antônio;2;2;2;3;3;
BA;2926905;Rio do Pires;2;2;2;2;2;
BA;2927002;Rio Real;2;3;2;2;3;
BA;2927101;Rodelas;2;2;3;2;2;
BA;2927200;Ruy Barbosa;3;4;3;;3;
BA;2927309;Salinas da Margarida;4;3;3;5;4;
BA;2927408;Salvador;10;5;6;7;9;
BA;2927507;Santa Bárbara;2;2;2;3;3;
BA;2927606;Santa Brígida;4;2;;3;3;
BA;2927705;Santa Cruz Cabrália;4;3;8;2;6;
BA;2927804;Santa Cruz da Vitória;2;2;2;2;2;
BA;2927903;Santa Inês;3;3;3;3;2;
BA;2928000;Santaluz;3;2;4;3;3;
BA;2928059;Santa Luzia;2;3;5;2;3;
